English	Spanish
Tom is passed out in bed.	Tom se desmayó en la cama.
I was good, wasn't I?	Estuve bien, ¿no?
I must get a new suit made.	Debo encargar un nuevo traje a medida.
Let's drop by his house.	Pasemos por su casa.
Is Tom awake?	¿Está Tom despierto?
He had nothing to do with the case.	Él no tenía nada que ver con el caso.
I can win. I'm sure of it.	Puedo ganar. De eso estoy seguro.
I like your way of smiling.	Me gusta la manera en que sonríes.
It is snowing.	Está nevando.
I had a good talk with Tom this morning.	Tuve una buena plática con Tom esta mañana.
Get everyone inside.	Haz que todos entren.
I can't use a fork well.	No sé usar bien el tenedor.
We all need to learn to deal with this situation.	Todos debemos aprender a enfrentar esta situación.
The last flight for Osaka has been canceled.	El último vuelo para Osaka ha sido cancelado.
You can say whatever you want to.	Puedes decir lo que quieras.
I borrowed the screwdriver from a friend of mine.	Le pedí prestado el destornillador a un amigo mío.
My older brother finished his homework very quickly.	Mi hermano mayor terminó muy rápido su tarea.
Please be home by three o'clock.	Por favor, está en casa a las tres.
Tom looks cool no matter what he wears.	Tom luce bien sin importar lo que lleve puesto.
I didn't think you were going to make it.	No creí que lo conseguirías.
They're paying rent.	Están pagando el alquiler.
Tom didn't have enough space to do what he wanted to do.	Tom no tenía suficiente espacio para hacer lo que quería hacer.
Tom does quality work.	Tom hace trabajos de calidad.
It doesn't make sense to criticize someone for doing something that we would do if we were in their situation.	No tiene sentido criticar a alguien por hacer algo que haríamos nosotros si estuviésemos en su caso.
Life is full of mysteries.	La vida está llena de misterios.
You must study hard.	Tienes que estudiar con ganas.
When will his new novel be published?	¿Cuándo se publica su nueva novela?
The concert concluded with the national anthem.	El concierto concluyó con el himno nacional.
I will stay here for a short period.	Me quedaré aquí por un tiempo corto.
The rules are clear.	Las reglas son claras.
I have to give the money back to Tom.	Le tengo que devolver el dinero a Tomás.
Who's taking responsibility for this problem?	¿Quién asumirá responsabilidad por este problema?
This is how he smiled at me.	Así es como él me sonrió.
Tom and Mary detest each other.	Tom y Mary se odian.
Tom just stood there without saying a word.	Tom se quedó ahí parado sin decir nada.
All Tom wanted was a nice hot bath.	Todo lo que Tom quería era un buen baño caliente.
Tom's funeral will be this weekend.	El funeral de Tom será este fin de semana.
Do you anticipate any problems?	¿Prevé problemas?
After you blow up those balloons, could you sweep the room?	Cuando termines de inflar esos globos, ¿podrías barrer la sala?
Please do that again.	Hazlo de nuevo, por favor.
I have fewer books than you.	Tengo menos libros que tú.
Don't think about it too much.	No pienses demasiado al respecto.
My father gave up smoking.	Mi padre dejó el tabaco.
I came for you.	Vine por usted.
I'm good at skiing.	Se me da bien el esquí.
You're useless.	Sos bueno para nada.
Why didn't you pick me?	¿Por qué no me elegiste a mí?
They accepted the offer.	Ellos aceptaron la oferta.
We visited our father's grave.	Visitamos la tumba de nuestro padre.
Gold is more precious than any other metal.	El oro es el más valioso de todos los metales.
I missed the bus.	Perdí el bus.
I'm still shopping around.	Estoy todavía comparando precios.
He dropped in at a bookstore.	El se pasó por una librería.
Tom is a bit snobbish.	Tom es un poco altivo.
I'd like to go out with her.	Querría salir con ella.
I check my mailbox almost every day.	Reviso mi buzón casi todos los días.
How much did you pay for that?	¿Cuánto pagaste por eso?
Why didn't you stay with Tom?	¿Por qué no te quedaste con Tom?
Tom got here an hour before Mary.	Tom llegó aquí una hora antes que Mary.
His father passed away last night in the hospital.	Su padre falleció en el hospital ayer por la noche.
These boots are expensive.	Estas botas son caras.
Don't be too strict. They're just kids.	No seas tan estricto. Solo son niños.
I'm going to go to the movies.	Voy a ir al cine.
I saw him crossing the road.	Le vi cruzar la carretera.
How can you be so calm?	¿Cómo puedes estar tan sereno?
Tom seems to be sick.	Tom parece estar enfermo.
I have traveled all over Australia.	He viajado por toda Australia.
We'd better tell Tom about this.	Tenemos que contárselo a Tom.
I like sushi.	Me gusta el sushi.
I'm satisfied with my current income.	Estoy satisfecho con mi salario actual.
You shouldn't do his work.	No deberías hacer su trabajo.
I wonder what's going to happen.	Me pregunto qué pasará.
I'm going to live forever.	Voy a vivir para siempre.
Nobody saw Tom steal the book.	Nadie vio a Tom robar el libro.
You have nothing to fear but fear itself.	No tienes nada que temer excepto al miedo mismo.
Now I get it.	Ahora lo cacho.
I love it!	¡Lo adoro!
Do you want to see my translations?	¿Quieres ver mis traducciones?
I can't believe Tom didn't come.	No puedo creer que Tom no viniera.
The soldier ran.	El soldado corrió.
Tom seems distracted.	Tom parece distraído.
Don't listen to Tom.	No lo escuchés a Tomás.
Are you busy now?	¿Estás ocupado ahora?
Where did you get those strange-looking shoes?	¿De dónde has sacado esos zapatos tan raros?
I go to the beach almost every day.	Voy a la playa casi todos los días.
There's been a lot of rain this year.	Ha llovido mucho este año.
I think you worry too much.	Creo que te preocupas demasiado.
My aunt won an all-expenses-paid tour of Hawaii.	Mi tía se ganó un viaje todo pagado a Hawái.
My teacher has a very soft voice.	Mi profesora tiene una voz muy suave.
It almost scared me not to see you online for a whole day.	Me estaba preocupando un poco no verte online en todo el día.
I'm going to Tom's on Monday.	Voy a la casa de Tom el lunes.
I found them.	Los encontré.
Will I have to give a lecture?	¿Tendré que dar una charla?
He heard someone calling for help.	Oyó a alguien pidiendo ayuda.
I thought Tom was going to hurt me.	Pensé que Tom iba a lastimarme.
Blood is the fluid responsible for the circulation of nutrients.	La sangre es el fluido responsable de la circulación de los nutrientes.
It's inevitable.	Es inevitable.
By the way, I have something to tell you.	Por cierto, tengo que decirte una cosa.
I must apologize.	Tengo que pedir disculpas.
He is afraid of death.	Le tiene miedo a la muerte.
I need a towel.	Necesito una toalla.
I need to go to work.	Necesito ir a trabajar.
Tell me when Tom will be back.	Decidme cuándo vuelve Tom.
Tom should be home by now, but he's still at his office.	A esta hora Tom debería estar en casa, pero aún está en su oficina.
I used to love her, but not anymore.	Yo la amaba, pero ya no más.
You should not sleep.	No deberías dormir.
A Japanese would never do such a thing.	Un japonés nunca haría tal cosa.
Tom doesn't think he is up to the job.	Tom no cree estar capacitado para el trabajo.
I'm getting sick and tired of all your complaints.	Me estoy hartando de todas vuestras quejas.
I feel bad for them.	Me siento mal por ellas.
This book contains a lot of short stories.	Este libro tiene muchas historias cortas.
How about taking up jogging?	¿Qué te parece si salimos a correr?
The boy caught the cat by the tail.	El chico cogió al gato por la cola.
It matters not how a man dies, but how he lives.	No importa como muere alguien, sino como vivió la vida.
I'm going to miss you, too.	Yo también te voy a extrañar.
You didn't touch it, did you?	No lo has tocado, ¿no?
Tell them to be careful.	Diles que tengan cuidado.
Tom couldn't find what he was looking for.	Tom no pudo encontrar lo que estaba buscando.
We have nothing to discuss.	No tenemos nada que discutir.
He's the cutest boy in town.	Es el chico más dulce de la ciudad.
I want to name the baby after you.	Quiero ponerle tu nombre al bebé.
We all agreed that the plan made sense.	Todos acordamos que el plan tenía perfecto sentido.
The painting he'd painted wasn't very good so nobody praised it.	El cuadro que él había pintado no era muy bueno, así que nadie lo alabó.
We won't be able to help Tom.	No podremos ayudar a Tom.
Nothing lasts forever.	Nada dura para siempre.
Shut up, he whispered.	"""Cállate,"" susurró él."
She tried a third time.	Ella lo intentó una tercera vez.
You are stupid.	Eres estúpido.
Something is very wrong here.	Algo anda muy mal aquí.
Aren't these your books?	¿No son estos tus libros?
It's time for me to leave.	Ya es hora de irme.
Why are there stars in the sky?	¿Por qué hay estrellas en el cielo?
I'm at my parents' place.	Estoy donde mis padres.
The cake is tasty.	La torta está sabrosa.
The work here is fairly simple.	El trabajo aquí es bien simple.
They were needed in South America.	Los necesitaban a ellos en Sudamérica.
Tom is able to play soccer.	Tom puede jugar al fútbol.
A dollar is a dollar.	Un dolar es un dolar.
Tom and Mary were already eating dinner when I got home.	Tom y Mary ya estaban cenando cuando llegué a casa.
I look forward to hearing your thoughts on this matter.	Estoy impaciente por escuchar qué piensas de este tema.
He didn't do any work.	Él no hizo ningún trabajo.
This is all a big misunderstanding.	Todo esto es un gran malentendido.
Get me a chair, please.	Tráeme una silla, por favor.
He loves you very much.	Él te ama mucho.
I hope it's not true.	Espero que no sea cierto.
Do you have a sister?	¿Tiene usted una hermana?
He is a good loser.	Él es un buen perdedor.
I will not go to school tomorrow.	Mañana no iré al colegio.
Who's your favorite hip-hop artist?	¿Cuál es tu artista hip-hop preferido?
Look at this mess.	Mira qué lío.
The traffic is heavy here, especially in the morning.	El tráfico es intenso aquí, sobre todo por las mañanas.
Look, it's the North Star.	Mira, es la estrella polar.
It's great.	Es grandioso.
Hold on to the rope.	Sostenete de la cuerda.
We'd better call the police.	Es mejor que llamemos a la policía.
It is difficult for him to solve the problem.	Es difícil que él resuelva el problema.
Click on the link.	Pincha en el enlace.
I wish I were there right now.	Ahora mismo me gustaría estar allí.
It is impossible for me to get there before noon.	Me es imposible llegar allá antes del mediodía.
Are you sure you don't want something a little smaller?	¿Estás seguro de que no quieres algo un poco más pequeño?
Here is my bicycle.	Aquí está mi bicicleta.
I need a quiet place to think.	Necesito un lugar tranquilo para pensar.
Monroe received 65 votes.	Monroe recibió 65 votos.
You need money to make money.	Para hacer dinero necesitas dinero.
They all understood your speech.	Todos entendieron tu discurso.
"Please fasten your seat belt and observe the ""no smoking"" sign until it is turned off."	"Por favor abróchense el cinturón de su asiento y observen la señal de ""NO FUMAR"" hasta que se apague."
I didn't learn anything.	No aprendí nada.
It depends on the size of the chair.	Eso depende del tamaño de la silla.
Do you have your laptop with you?	¿Llevas tu portátil?
Keep warm.	Manténganse abrigados.
Let's continue this discussion tomorrow.	Sigamos mañana con esta discusión.
The only room available is a double.	La única habitación libre es una habitación doble.
Most basketball players are very tall.	La mayoría de los jugadores de baloncesto son muy altos.
I waited all afternoon in vain.	Esperé en vano toda la tarde.
I just need to know the truth.	Yo solo necesito saber la verdad.
You're witty.	Eres ingenioso.
Why do you always do that to me?	¿Por qué siempre me haces eso?
I'll pay for your lunch today.	Yo pagaré tu almuerzo hoy.
Please tell Tom.	Por favor, díselo a Tom.
I don't go out much.	No salgo mucho.
Tom has had a bad week.	Tom ha tenido una mala semana.
We'll go back to Boston next week.	Regresaremos a Boston la próxima semana.
Tom's son was killed in a traffic accident last winter.	El hijo de Tom murió en un accidente de tránsito el último invierno.
They went fishing yesterday.	Ellos fueron de pesca ayer.
They say that I'm an old woman.	Aquellos dicen que yo soy una vieja.
We can't tolerate such an outrage.	No podemos tolerar tal atropello.
We're not family.	Nosotros no somos familia.
Go on inside.	Entra.
Tom couldn't remember what Mary had told him to do.	Tom no se podía acordar de qué le había dicho Mary que hiciera.
My sister is always weighing herself.	Mi hermana se está controlando el peso continuamente.
That patient may die at any time.	Ese paciente puede morir en cualquier momento.
Everybody puts me down.	Todo el mundo me menosprecia.
The deadline is Monday.	El plazo acaba el lunes.
He got well again.	Él se mejoró otra vez.
I could be away for some time.	Podría estar lejos por un tiempo.
I want you to pay attention.	Quiero que prestéis atención.
Would you like any dessert?	¿Quieres algún postre?
When the phone rang, he ran to answer it.	Cuando sonó el teléfono, él corrió a contestarlo.
I'd like to talk to you about what happened at school yesterday.	Me gustaría hablar contigo de lo que pasó ayer en la escuela.
I believe that's all I need.	Creo que eso es todo lo que necesito.
They won the silver medal.	Ellos ganaron la medalla de plata.
Tom isn't feeling well.	Tom no se está sintiendo bien.
Tom and Mary were only married for a few months.	Tom y Mary sólo estuvieron casados por unos pocos meses.
I like listening to music, especially jazz.	Me gusta escuchar música, especialmente jazz.
I am afraid that they don't get along very well.	Me temo que ellos no se llevan muy bien.
She attributed her success to good luck.	Ella atribuyó su éxito a la buena suerte.
Someone's at the door.	Hay alguien en la puerta.
They walked with him to an old wooden building near the farmhouse.	Ellos caminaron con él hasta un edificio de madera cercano a la granja.
We have to find the right person for each position.	Tenemos que encontrar a la persona adecuada para cada puesto.
Tom found a good job near his house.	Tom encontró un buen trabajo cerca de su casa.
That's a boat.	Ese es un bote.
When do I get paid?	¿Cuándo voy a cobrar?
The pain was terrible.	El dolor era terrible.
I think Tom will be able to do that today.	Creo que Tom podrá hacer eso hoy.
I felt like an idiot.	Me sentí como una idiota.
You should pay attention.	Deberías prestar atención.
Doesn't anyone listen?	¿Alguno escucha?
I didn't know Tom was married.	No sabía que Tom estaba casado.
You asked me for it.	Me lo pediste.
My hobby is stamp collecting.	Mi afición es coleccionar sellos.
Tom was late for class, as is often the case.	Tom llegó tarde a clase, como suele ser habitual en él.
Close your eyes, please.	Cierra los ojos, por favor.
I want to understand Tom.	Quiero entender a Tom.
We went into the woods in search of insects.	Fuimos al bosque a buscar insectos.
Where did you learn to do that?	¿Dónde aprendiste a hacer eso?
I'd like something to drink.	Me gustaría beber algo.
The field is full of wild flowers.	El campo está lleno de flores silvestres.
It seems like a terrible waste of time.	Parece una terrible pérdida de tiempo.
No one knows what happened.	Nadie sabe qué sucedió.
I'm having a rough week.	Estoy teniendo una semana difícil.
We still have plenty of time, but let's take a taxi just in case.	Todavía tenemos mucho tiempo, pero cojamos un taxi por si acaso.
Tom stayed up all night studying.	Tom se quedó toda la noche estudiando.
I care for you a great deal.	Me importas mucho.
That's a lemon tree.	Ese es un árbol limonero.
Turn back, please.	Voltéate, por favor.
He is afraid of the dog.	Él le tiene miedo al perro.
The party was a big success.	La fiesta fue un gran éxito.
Call for help.	Pida ayuda.
Tom wanted to go to college.	Tomás quería ir a la universidad.
Tom accidentally set fire to the curtain.	Tom le prendió fuego accidentalmente a la cortina.
Roosevelt was a war hero.	Roosevelt fue un héroe de guerra.
I can't distinguish a frog from a toad.	No soy capaz de distinguir una rana de un sapo.
He'll get well soon.	Él se mejorará pronto.
Most signs are written in English.	La mayoría de los letreros están escritos en inglés.
Tom wrote down his new teacher's name so he wouldn't forget it.	Tom anotó el nombre de su nuevo profesor para no olvidarlo.
Will you let me know when he comes?	¿Me avisarás cuando venga?
He is not a good person.	Él no es una buena persona.
Listen and choose the best answer.	Escucha y elige la mejor respuesta.
He writes books.	Él escribe libros.
I love the smell of coffee.	Amo el sabor del café.
They gave a series of concerts.	Ellos dieron una serie de conciertos.
I am not rich, nor do I wish to be.	Ni soy rico ni quiero serlo.
Never speak ill of others.	Nunca hables mal de los demás.
I'd like to sit by the window.	Me gustaría sentarme en la ventana.
Can you verify that?	¿Puedes verificar eso?
He got all he wanted.	Lograba todo lo que quería.
Tom said Mary was good at French.	Tom dijo que Mary era buena en francés.
Help me and I'll help you.	Ayúdame y te ayudaré.
It's a piece of cake.	Es pan comido.
He didn't study at all.	Él no estudió nada.
You should exercise more.	Deberías ejercitarte más.
We're almost like brothers.	Casi somos como hermanos.
Would you like me to teach you how to play chess?	¿Le gustaría enseñarme a jugar al ajedrez?
The bank was held up last night.	Anoche robaron el banco.
Some of them have committed suicide.	Algunos de ellos se han quitado la vida.
It's on me.	Es de parte mía.
Is he a doctor?	¿Es médico?
Tom didn't seem to care.	A Tom no parecía importarle.
I agree with you to some extent.	Hasta cierto punto estoy de acuerdo contigo.
When do you leave here?	¿Cuándo te irás de aquí?
I want to be a good player like you.	Quiero ser un buen jugador, como tú.
I like jazz.	Me gusta el jazz.
He bit his lip.	Él se mordió el labio.
You're fired.	Estás despedida.
Tom, I want to stay with you.	Tom, me quiero quedar contigo.
One is never too old to learn.	Nunca se es demasiado viejo para aprender.
I am more worried about you than the future of Japan.	Estoy más preocupado por ti que por el futuro de Japón.
Come on, admit it.	Vamos, admítelo.
As long as you keep quiet, you can stay here.	Puedes quedarte aquí siempre que te quedes callado.
Why didn't you get married?	¿Por qué no os casasteis?
He is one of my old friends.	Él es uno de mis viejos amigos.
Do men and women think differently?	¿Existen diferencias en la manera de pensar de hombres y mujeres?
What Tom really wanted was enough money to buy Mary some flowers.	Lo que Tom verdaderamente quería era dinero suficiente para comprarle flores a María.
That's another matter.	Eso es otro problema.
I knew I had a tough job ahead.	Sabía que tenía una dura tarea por venir.
These scissors don't cut well.	Estas tijeras no cortan bien.
What's the nationality of that cameraman over there?	El cámara de allí ¿de qué nacionalidad es?
Tom has his own life to live.	Tom tiene su propia vida que vivir.
I was overtaken by greed.	Fui poseído por la avaricia.
Let's go!	¡Órale!
The nation was growing.	La nación estaba creciendo.
You're the worst liar in the world.	Eres la peor mentirosa del mundo.
Last Sunday, Mary and I went to the library together.	El domingo pasado, Mary y yo fuimos juntos a la biblioteca.
Do you want this shirt?	¿Quieres esta camisa?
Mary wants to paint her car bright blue.	María quiere pintar su auto celeste.
They live downstairs.	Viven en el piso de abajo.
I love being your teacher.	Me encanta ser tu maestro.
We aren't here to arrest you.	No estamos aquí para detenerle.
Tom should do what Mary says.	Tom debería hacer lo que dice Mary.
Two against one is not a fair fight.	Dos contra uno no es pelea justa.
I tried to save him.	Intenté salvarle.
Can you help look after the kids?	¿Me puedes ayudar a cuidar a los niños?
The old man is always accompanied by his grandson.	El anciano va siempre acompañado por su nieto.
Many, if not most, professional translators only translate into their native language.	Muchos,si no la mayoría, de los traductores profesionales solo traducen a su idioma nativo.
One who doesn't take risks will not win.	El que no arriesga, no gana.
What I can't bear is the sound of chalk squeaking on a chalkboard.	Lo que no puedo soportar es el sonido de la tiza chirriando en una pizarra.
I dare you to try to stop me.	Te desafío a que intentes pararme.
It rained throughout the night.	Llovió toda la noche.
The new plan worked well.	El nuevo plan funcionó bien.
Tom wants Mary to know that he likes her.	Tom quiere que María sepa que le gusta.
Tom has three daughters.	Tom tiene tres hijas.
When he saw his father, he didn't even say a word.	Cuando vio a su padre ni chistó.
I think I can speak French well enough to say pretty much anything I want to say.	Creo que puedo hablar francés lo suficientemente bien como para decir casi todo lo que quiero decir.
We need to invest in clean, renewable energy.	Necesitamos invertir en energía limpia y renovable.
I hate taking risks.	Odio correr riesgos.
Will you allow me to play the piano?	¿Me permites tocar el piano?
Everything is going well with our plan.	Todo va tal como lo planeamos.
He felt uneasy in his father's presence.	Él se sintió intranquilo en la presencia de su padre.
Tom wrung the chicken's neck.	Tom le retorció el cuello a la gallina.
Under no circumstances must you leave the room.	Bajo ninguna circunstancia debes abandonar la habitación.
She was in the Americas last month.	Ella estuvo en Estados Unidos el mes pasado.
Who speaks French?	¿Quién habla francés?
The company has sent several representatives to discuss the matter.	La compañía ha enviado varios agentes para tratar el asunto.
Was that you on TV last night?	¿Eras tú anoche en televisión?
The light bulb burst.	La ampolleta se reventó.
They said that.	Ellos dijeron eso.
It's time.	Es el momento.
My father used to go to work by bus.	Mi padre solía ir a trabajar en autobús.
I'm ashamed of my body.	Me avergüenza mi cuerpo.
When did you start studying Latin?	¿Cuándo empezaste a estudiar latín?
He discovered that he had made a mistake.	Él descubrió que había cometido un error.
The television doesn't work.	La televisión no funciona.
Tom is probably still hiding.	Tom está probablemente todavía escondido.
Tom's sentence was 25 hours of community service.	La condena de Tom fue de 25 horas de servicio comunitario.
Please refrain from smoking.	Absténganse de fumar, por favor.
The children were all well and looked happy.	Todos los niños estaban bien y parecían ser felices.
I like ice cream.	Me gusta la nieve.
If you look around, you'll see many people doing the same thing.	Si ves a tu alrededor, vas a ver a mucha gente haciendo lo mismo.
There are people who talk just because they have a mouth.	Hay gente que solo habla porque tiene boca.
Tell Tom to give you some scissors.	Dile a Tom que te dé unas tijeras.
Have you eaten supper yet?	¿Ya han cenado?
He runs in the park every day.	Él corre todos los días en el parque.
She herself helped him.	Ella misma le ayudó.
I was told that you could teach me how to sharpen a knife.	Me dijeron que tú me podías enseñar cómo afilar un cuchillo.
I like to work.	Me gusta trabajar.
I almost spilled the coffee on my keyboard.	Casi derramo el café en mi teclado.
They ignored me.	Me ignoraron.
The rain set our plans back two weeks.	La lluvia retrasó nuestros planes dos semanas.
How do I open a file?	¿Cómo abro un archivo?
I took her home.	Llevé a la chica a su casa.
I can't believe that you aren't at least willing to consider the possibility that there's another explanation.	No puedo creer que ni estés dispuesto a considerar la posibilidad de que haya otra explicación.
Just as we are talking, there was a loud explosion.	Justo mientras estamos hablando ha habido una fuerte explosión.
I don't want there to be any trouble.	No quiero que surja ningún problema.
I realize that this may sound crazy, but I think I've fallen in love with your younger sister.	Comprendo que esto puede sonar loco, pero creo que me he enamorado de tu hermana menor.
He pretended to be my friend.	Él fingió ser mi amigo.
You look bored.	Pareces aburrido.
She hates running.	Ella odia correr.
The hotel is run by his uncle.	Su tío dirige el hotel.
Why don't you seem as happy as I am?	¿Por qué no pareces tan feliz como yo?
You've got to hurry.	Tienes que apurarte.
When do you study?	¿En qué momento estudias?
Does anybody hear me?	¿Alguien me oye?
I know when I'm not wanted.	Yo sé cuándo no me quieren.
Tom is my name.	Me llamo Tom.
It's a lot less likely for a Macintosh computer to have a virus than a computer running Windows.	Es mucho menos probable que un Macintosh tenga un virus que un computador con Windows.
Do you think there is another answer to this difficult problem?	¿Piensas que hay otra solución para este difícil problema?
We both competed.	Ambos competimos.
I can't let you do this.	No puedo dejar que hagas esto.
I wanted to invite you, but your friend beat me to it.	Yo quería invitarle, pero su amigo se me adelantó.
Tom is a little embarrassed.	Tom tiene un poco de vergüenza.
Thousands of people went to the beach to see the dolphin.	Miles de personas fueron a la playa a ver al delfín.
The statistics are in our favor.	Las estadísticas están a nuestro favor.
I stayed up all night.	Estuve despierto toda la noche.
I think Tom is thirty.	Creo que Tomás tiene treinta años.
Go straight along this street.	Siga derecho por esta calle.
They knew me.	Me conocían.
About how much will it cost?	¿Cuánto costará más o menos?
They continued to push south.	Ellos siguieron avanzando hacia el sur.
My father often washes the dishes.	Mi padre a menudo lava los platos.
When ice melts, it becomes water.	Cuando el hielo se derrite, se convierte en agua.
We're a bit busy at the moment. Can you hang on a minute?	Ahora mismo estamos un poco ocupados, ¿puede esperar un minuto?
Let me see what I can do.	Vamos a ver lo que puedo hacer.
My best friend always gives me good advice.	Mi mejor amigo siempre me da buenos consejos.
We ordered too much food.	Ordenamos demasiada comida.
I want the same jacket as you are wearing.	Quiero la misma chaqueta que llevas.
Some incidents from my childhood are crystal clear, others are just a dim memory.	Algunos incidentes de mi infancia son claros, otros son sólo un tenue recuerdo.
I never promised to protect Tom.	Nunca prometí proteger a Tom.
He's an independent thinker.	Es un pensador independiente.
The air conditioner is out of order.	El aire acondicionado está fuera de servicio.
Please don't tell my wife.	No le digas a mi esposa, por favor.
Tom is older than his wife.	Tom es mayor que su esposa.
She spends a lot of money on books.	Ella se gasta mucho dinero en libros.
I'm getting married on Monday.	Me voy a casar el lunes.
Get dressed.	Vestite
Tom is my enemy.	Tom es mi enemigo.
We'll drive.	Nosotros conduciremos.
That's interesting.	Eso es interesante.
I'll bring my sister when I come next time.	Traeré a mi hermana conmigo la próxima vez que venga.
Tom said he doesn't even want to think about it.	Tom dijo que ni siquiera quiere pensar en eso.
The man claimed he didn't take the money.	El hombre sostuvo que él no había tomado el dinero.
I cannot accept this gift.	No puedo aceptar este regalo.
The sailors were at the mercy of the weather.	Los marineros estaban a la merced del tiempo.
He gathered up his things and left.	Recogió sus cosas y partió.
This room is cramped.	Esta habitación está abarrotada.
I thought we had that under control.	Pensé que teníamos eso bajo control.
We deliberated whether we should cancel the reservation.	Discutimos acerca de si debíamos cancelar la reserva.
Mary's sickness does not stop her from enjoying life.	La enfermedad de Mary no le impide disfrutar la vida.
How much do you leave for a tip in Spain?	¿Cuánto se da de propina en España?
Are you back home now?	¿Ya has vuelto a casa?
I have a stomachache, doctor.	Doctor, me duele mi estómago.
Two sheets were on the bed.	Había dos sábanas sobre la cama.
Let's get together again!	¡Volvamos a juntarnos!
Although he is very old, he is strong.	Aunque él es muy viejo, es fuerte.
Tom is a very liberal person.	Tom es una persona muy liberal.
I'm calling you.	Te estoy llamando.
I collect rare coins.	Colecciono monedas raras.
I wouldn't blame Tom.	No culparía a Tom.
One can always find time.	Uno siempre puede encontrar tiempo.
Can I leave a message?	¿Puedo dejar un mensaje?
Your office is nicer than mine.	Su oficina es más bonita que la mía.
This is not important.	Esto no es importante.
What do I have to change?	¿Qué tengo que cambiar?
It won't budge.	No cederá.
I don't like to make a mistake.	No me gusta cometer errores.
The train got into London.	El tren llegó a Londres.
We don't have tea.	No tenemos té.
I visited her in Germany.	La visité en Alemania.
Upon hearing the news, she burst out crying.	Al oír las noticias se puso a llorar.
What kind of books does Tom read?	¿Qué clase de libros lee Tom?
We flew from Boston to Chicago.	Volamos desde Boston a Chicago.
I know that Tom wants to get married.	Sé que Tom quiere casarse.
There isn't a grain of truth in what he says.	No hay ni una pizca de verdad en lo que él dice.
He stopped smoking.	Él dejó de fumar.
Do you know what you should do?	¿Sabes lo que deberías de hacer?
We have to get out of here.	Tenemos que salir de aquí.
Let's play baseball.	Vamos a jugar al béisbol.
He is very thorough about everything.	Él es muy meticuloso con todo.
I don't want anyone to know about this.	No quiero que nadie sepa sobre esto.
She is really a nice girl.	Ella es realmente una chica muy amable.
He pretends to be deaf.	Él finge ser sordo.
While we're waiting, why don't you tell me what happened?	Mientras estamos esperando, ¿por qué no me dices qué pasó?
I won't let anyone hurt you.	No dejaré que nadie te lastime.
It is as clear to me as if it were yesterday.	Lo recuerdo como si fuera ayer.
The enemy is weak.	El enemigo es débil.
Get to the point!	¡Ve al grano!
He waited until she came.	Él esperó hasta que ella llegó.
Tom is one of my closest friends.	Tom es uno de mis amigos más cercanos.
We believe it was possible that Tom poisoned Mary.	Creemos que fue posible que Tom envenenara a Mary.
You're smart.	Eres inteligente.
She married him.	Ella se casó con él.
She works at the bank.	Trabaja en el banco.
Why are you burning these pictures?	¿Por qué estás quemando estas fotos?
You're too drunk.	Sos demasiado borracho.
They're going to find Tom.	Ellos encontrarán a Tom.
"Our teacher said, ""Water boils at 100 degrees."""	"Nuestro profesor dijo, ""El agua hierve a los 100 grados""."
What's the time?	¿Qué hora es?
Can you wait about an hour?	¿Podés esperar más o menos una hora?
Excuse me. Can you speak English?	Disculpe. ¿Usted habla inglés?
He beat the odds and was successful.	Él tentó a la suerte y lo logró.
Tom heard that Mary got a job.	Tom escuchó que Mary consiguió un empleo.
I'm thinking about that.	Estoy pensando en ello.
We are working for peace.	Trabajamos por la paz.
How could you be so irresponsible?	¿Cómo puedes ser tan irresponsable?
Tom looks like a tired old man.	Tom luce como un anciano cansado.
I'll stay if it rains.	Me voy a quedar si llueve.
My birthday was last week.	Mi cumpleaños fue la semana pasada.
Sorry, I don't follow.	Perdón, pero no entiendo.
Do they know about us?	¿Ellos saben acerca de nosotros?
There's somebody who wants to meet you.	Hay alguien que quiere conocerte.
He adapted the story for children.	Él adaptó la historia para los niños.
Would that have made it better?	¿Eso se hubiera hecho mejor?
"Where is her book? ""It's on the table."""	"""¿Dónde está su libro?"" ""Está sobre la mesa."""
I can't find Tom. Has he gone already?	No encuentro a Tom, ¿ya se ha ido?
Get out of here immediately!	¡Sal de aquí inmediatamente!
We were allowed to speak either in English or in Japanese.	Podíamos hablar en inglés o en japonés.
I must go now.	Ahora tengo que irme.
This wine tastes great.	Este vino sabe estupendo.
Apparently, Tom has been cheating on his wife.	Parece ser que Tom ha estado engañando a su esposa.
I got bored with his long talk.	Me aburrí de su largo discurso.
Can I see them?	¿Puedo verles?
Tom and Mary got divorced last year.	Tom y Mary se divorciaron el año pasado.
Tom is still stalling for time.	Tom sigue con evasivas para ganar tiempo.
This is very good.	Esto está muy bueno.
He lost two sons in the war.	Perdió a dos hijos en la guerra.
Why don't you try eating this?	¿Por qué no pruebas a comer esto?
He waited for the elevator to come down.	Él aguardó a que bajara el ascensor.
Tom asked Mary about John.	Tom le preguntó a Mary acerca de John.
Tom is absolutely correct.	Tom tiene toda la razón.
Why didn't you just ask me for help?	¿Por qué sencillamente no me pediste ayuda?
Keep them.	Guárdalos.
Who's your French teacher?	¿Quién es tu profesor de francés?
Can I use my credit card?	¿Puedo usar mi tarjeta de crédito?
That coin is counterfeit.	Esa moneda es falsa.
Show me how.	Muéstrame cómo.
Can you open it?	¿Puede abrirlo?
That won't happen on Monday.	Eso no pasará el lunes.
